6898, none, minecraft:the_void, MONSTER, mowziesmobs:grottol, 3, 1, 3
6926, plains, minecraft:plains, CREATURE, ecologics:squirrel, 3, 1, 3
6927, plains, minecraft:plains, CREATURE, crittersandcompanions:ferret, 3, 1, 3
6928, plains, minecraft:plains, CREATURE, naturalist:snail, 3, 1, 3
6929, plains, minecraft:plains, CREATURE, naturalist:butterfly, 3, 1, 3
6930, plains, minecraft:plains, CREATURE, naturalist:snake, 3, 1, 3
6931, plains, minecraft:plains, CREATURE, naturalist:robin, 3, 1, 3
6932, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 3, 1, 3
6933, plains, minecraft:plains, CREATURE, alexsmobs:crow, 3, 1, 3
6934, plains, minecraft:plains, CREATURE, alexsmobs:bison, 3, 1, 3
6935, plains, minecraft:plains, AMBIENT, minecraft:bat, 3, 1, 3
6936, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 3, 1, 3
6937, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 3, 1, 3
6938, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 3, 1, 3
6939, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 3, 1, 3
6940, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 3, 1, 3
6941, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
6942, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 3
6943, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
6944, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 3, 1, 3
6945, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
6946, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 3
6947, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
6948, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 1, 3
6949, plains, minecraft:plains, fireflies, naturalist:firefly, 3, 1, 3
6950, plains, minecraft:sunflower_plains, MONSTER, minecraft:spider, 3, 1, 3
6951, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 3, 1, 3
6952, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 1, 1, 3
6953, plains, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 3, 1, 3
6954, plains, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 3, 1, 3
6955, plains, minecraft:sunflower_plains, MONSTER, minecraft:slime, 3, 1, 3
6956, plains, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 1, 1, 3
6957, plains, minecraft:sunflower_plains, MONSTER, minecraft:witch, 1, 1, 3
6958, plains, minecraft:sunflower_plains, MONSTER, mowziesmobs:grottol, 3, 1, 3
6959, plains, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 3, 1, 3
6960, plains, minecraft:sunflower_plains, MONSTER, quark:stoneling, 3, 1, 3
6961, plains, minecraft:sunflower_plains, MONSTER, quark:toretoise, 3, 1, 3
6962, plains, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 3, 1, 3
6963, plains, minecraft:sunflower_plains, CREATURE, minecraft:pig, 3, 1, 3
6964, plains, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 3, 1, 3
6965, plains, minecraft:sunflower_plains, CREATURE, minecraft:cow, 3, 1, 3
6966, plains, minecraft:sunflower_plains, CREATURE, minecraft:horse, 3, 1, 3
6967, plains, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 3, 1, 3
6968, plains, minecraft:sunflower_plains, CREATURE, isleofberk:stinger, 3, 1, 3
6969, plains, minecraft:sunflower_plains, CREATURE, isleofberk:gronckle, 3, 1, 3
6970, plains, minecraft:sunflower_plains, CREATURE, crittersandcompanions:ferret, 3, 1, 3
6971, plains, minecraft:sunflower_plains, CREATURE, naturalist:snail, 3, 1, 3
6972, plains, minecraft:sunflower_plains, CREATURE, naturalist:butterfly, 3, 1, 3
6973, plains, minecraft:sunflower_plains, CREATURE, naturalist:snake, 3, 1, 3
6974, plains, minecraft:sunflower_plains, CREATURE, naturalist:robin, 3, 1, 3
6975, plains, minecraft:sunflower_plains, CREATURE, buzzier_bees:moobloom, 3, 1, 3
6976, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 3, 1, 3
6977, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 3, 1, 3
6978, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 3, 1, 3
6979, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 3, 1, 3
6980, plains, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 3, 1, 3
6981, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 3, 1, 3
6982, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 3, 1, 3
6983, plains, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 3, 1, 3
6984, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 3, 1, 3
6985, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 3, 1, 3
6986, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
6987, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 3
6988, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
6989, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 3, 1, 3
6990, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
6991, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 3
6992, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
6993, plains, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 1, 3
6994, plains, minecraft:sunflower_plains, fireflies, naturalist:firefly, 3, 1, 3
6995, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 3, 1, 3
6996, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 3, 1, 3
6997, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 1, 1, 3
6998, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 3, 1, 3
6999, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 3, 1, 3
7000, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 1, 1, 3
7001, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 1, 1, 3
7002, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 3, 1, 3
7003, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 3, 1, 3
7004, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 3, 1, 3
7005, icy, minecraft:snowy_plains, MONSTER, mowziesmobs:grottol, 3, 1, 3
7006, icy, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 3, 1, 3
7007, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 3, 1, 3
7008, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 3, 1, 3
7009, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 3, 1, 3
7010, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 3, 1, 3
7011, icy, minecraft:snowy_plains, CREATURE, isleofberk:deadly_nadder, 3, 1, 3
7012, icy, minecraft:snowy_plains, CREATURE, isleofberk:gronckle, 3, 1, 3
7013, icy, minecraft:snowy_plains, CREATURE, isleofberk:zippleback, 3, 1, 3
7014, icy, minecraft:snowy_plains, CREATURE, ecologics:penguin, 3, 1, 3
7015, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 3, 1, 3
7016, icy, minecraft:snowy_plains, CREATURE, naturalist:bluejay, 3, 1, 3
7017, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 3, 1, 3
7018, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 3, 1, 3
7019, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 3, 1, 3
7020, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 3, 1, 3
7021, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 3, 1, 3
7022, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 3, 1, 3
7023, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
7024, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 3
7025, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:perch, 3, 1, 3
7026, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
7027, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 3
7028, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
7029, icy, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 1, 3
7030, icy, minecraft:ice_spikes, MONSTER, minecraft:spider, 3, 1, 3
7031, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie, 3, 1, 3
7032, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 1, 1, 3
7033, icy, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 3, 1, 3
7034, icy, minecraft:ice_spikes, MONSTER, minecraft:slime, 3, 1, 3
7035, icy, minecraft:ice_spikes, MONSTER, minecraft:enderman, 1, 1, 3
7036, icy, minecraft:ice_spikes, MONSTER, minecraft:witch, 1, 1, 3
7037, icy, minecraft:ice_spikes, MONSTER, minecraft:stray, 3, 1, 3
7038, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 3, 1, 3
7039, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 3, 1, 3
7040, icy, minecraft:ice_spikes, MONSTER, mowziesmobs:grottol, 3, 1, 3
7041, icy, minecraft:ice_spikes, MONSTER, alexsmobs:centipede_head, 3, 1, 3
7042, icy, minecraft:ice_spikes, MONSTER, quark:stoneling, 3, 1, 3
7043, icy, minecraft:ice_spikes, MONSTER, quark:toretoise, 3, 1, 3
7044, icy, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 3, 1, 3
7045, icy, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 3, 1, 3
7046, icy, minecraft:ice_spikes, CREATURE, isleofberk:zippleback, 3, 1, 3
7047, icy, minecraft:ice_spikes, CREATURE, cnb:yeti, 3, 1, 3
7048, icy, minecraft:ice_spikes, CREATURE, naturalist:bluejay, 3, 1, 3
7049, icy, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 3, 1, 3
7050, icy, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 3, 1, 3
7051, icy, minecraft:ice_spikes, AMBIENT, minecraft:bat, 3, 1, 3
7052, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:fly, 3, 1, 3
7053, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:cockroach, 3, 1, 3
7054, icy, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 3, 1, 3
7055, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
7056, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 3
7057, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:perch, 3, 1, 3
7058, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
7059, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 3
7060, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
7061, icy, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 1, 3
7062, desert, minecraft:desert, MONSTER, minecraft:spider, 3, 1, 3
7063, desert, minecraft:desert, MONSTER, minecraft:zombie, 3, 1, 3
7064, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 1, 1, 3
7065, desert, minecraft:desert, MONSTER, minecraft:skeleton, 3, 1, 3
7066, desert, minecraft:desert, MONSTER, minecraft:slime, 3, 1, 3
7067, desert, minecraft:desert, MONSTER, minecraft:enderman, 1, 1, 3
7068, desert, minecraft:desert, MONSTER, minecraft:witch, 1, 1, 3
7069, desert, minecraft:desert, MONSTER, minecraft:husk, 3, 1, 3
7070, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 3, 1, 3
7071, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 3, 1, 3
7072, desert, minecraft:desert, MONSTER, mowziesmobs:grottol, 3, 1, 3
7073, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 3, 1, 3
7074, desert, minecraft:desert, MONSTER, alexsmobs:guster, 3, 1, 3
7075, desert, minecraft:desert, MONSTER, quark:stoneling, 3, 1, 3
7076, desert, minecraft:desert, MONSTER, quark:toretoise, 3, 1, 3
7077, desert, minecraft:desert, CREATURE, minecraft:rabbit, 3, 1, 3
7078, desert, minecraft:desert, CREATURE, ecologics:camel, 3, 1, 3
7079, desert, minecraft:desert, CREATURE, cnb:cactem, 3, 1, 3
7080, desert, minecraft:desert, CREATURE, cnb:lizard, 3, 1, 3
7081, desert, minecraft:desert, CREATURE, naturalist:rattlesnake, 3, 1, 3
7082, desert, minecraft:desert, CREATURE, naturalist:cardinal, 3, 1, 3
7083, desert, minecraft:desert, CREATURE, naturalist:vulture, 3, 1, 3
7084, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 3, 1, 3
7085, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 3, 1, 3
7086, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 3, 1, 3
7087, desert, minecraft:desert, AMBIENT, minecraft:bat, 3, 1, 3
7088, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 3, 1, 3
7089, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 3, 1, 3
7090, desert, minecraft:desert, AMBIENT, alexsmobs:jerboa, 3, 1, 3
7091, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 3, 1, 3
7092, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 3, 1, 3
7093, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 3, 1, 3
7094, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 3, 1, 3
7095, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 3, 1, 3
7096, desert, minecraft:desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 1, 3
7097, swamp, minecraft:swamp, MONSTER, minecraft:spider, 3, 1, 3
7098, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 3, 1, 3
7099, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 1, 1, 3
7100, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 3, 1, 3
7101, swamp, minecraft:swamp, MONSTER, minecraft:slime, 3, 1, 3
7102, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 1, 1, 3
7103, swamp, minecraft:swamp, MONSTER, minecraft:witch, 1, 1, 3
7104, swamp, minecraft:swamp, MONSTER, minecraft:slime, 3, 1, 3
7105, swamp, minecraft:swamp, MONSTER, creeperoverhaul:swamp_creeper, 3, 1, 3
7106, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 3, 1, 3
7107, swamp, minecraft:swamp, MONSTER, mowziesmobs:grottol, 3, 1, 3
7108, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 3, 1, 3
7109, swamp, minecraft:swamp, MONSTER, quark:stoneling, 3, 1, 3
7110, swamp, minecraft:swamp, MONSTER, quark:toretoise, 3, 1, 3
7111, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 3, 1, 3
7112, swamp, minecraft:swamp, CREATURE, minecraft:pig, 3, 1, 3
7113, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 3, 1, 3
7114, swamp, minecraft:swamp, CREATURE, minecraft:cow, 3, 1, 3
7115, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle, 3, 1, 3
7116, swamp, minecraft:swamp, CREATURE, isleofberk:gronckle, 3, 1, 3
7117, swamp, minecraft:swamp, CREATURE, isleofberk:zippleback, 3, 1, 3
7118, swamp, minecraft:swamp, CREATURE, cnb:sporeling, 3, 1, 3
7119, swamp, minecraft:swamp, CREATURE, cnb:lilytad, 3, 1, 3
7120, swamp, minecraft:swamp, CREATURE, cnb:minipad, 3, 1, 3
7121, swamp, minecraft:swamp, CREATURE, naturalist:snail, 3, 1, 3
7122, swamp, minecraft:swamp, CREATURE, naturalist:snake, 3, 1, 3
7123, swamp, minecraft:swamp, CREATURE, naturalist:cardinal, 3, 1, 3
7124, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 3, 1, 3
7125, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 3, 1, 3
7126, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 3, 1, 3
7127, swamp, minecraft:swamp, CREATURE, alexsmobs:anaconda, 3, 1, 3
7128, swamp, minecraft:swamp, CREATURE, quark:frog, 3, 1, 3
7129, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 3, 1, 3
7130, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 3, 1, 3
7131, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 3, 1, 3
7132, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 3, 1, 3
7133, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:catfish, 3, 1, 3
7134, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:gar, 3, 1, 3
7135, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
7136, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 3
7137, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
7138, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:perch, 3, 1, 3
7139, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
7140, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 3
7141, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
7142, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 1, 3
7143, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish, 3, 1, 3
7144, swamp, minecraft:swamp, fireflies, naturalist:firefly, 3, 1, 3
7145, forest, minecraft:forest, MONSTER, minecraft:spider, 3, 1, 3
7146, forest, minecraft:forest, MONSTER, minecraft:zombie, 3, 1, 3
7147, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 1, 1, 3
7148, forest, minecraft:forest, MONSTER, minecraft:skeleton, 3, 1, 3
7149, forest, minecraft:forest, MONSTER, minecraft:creeper, 3, 1, 3
7150, forest, minecraft:forest, MONSTER, minecraft:slime, 3, 1, 3
7151, forest, minecraft:forest, MONSTER, minecraft:enderman, 1, 1, 3
7152, forest, minecraft:forest, MONSTER, minecraft:witch, 1, 1, 3
7153, forest, minecraft:forest, MONSTER, mowziesmobs:grottol, 3, 1, 3
7154, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 3, 1, 3
7155, forest, minecraft:forest, MONSTER, quark:stoneling, 3, 1, 3
7156, forest, minecraft:forest, MONSTER, quark:toretoise, 3, 1, 3
7157, forest, minecraft:forest, CREATURE, minecraft:sheep, 3, 1, 3
7158, forest, minecraft:forest, CREATURE, minecraft:pig, 3, 1, 3
7159, forest, minecraft:forest, CREATURE, minecraft:chicken, 3, 1, 3
7160, forest, minecraft:forest, CREATURE, minecraft:cow, 3, 1, 3
7161, forest, minecraft:forest, CREATURE, minecraft:wolf, 3, 1, 3
7162, forest, minecraft:forest, CREATURE, isleofberk:deadly_nadder, 3, 1, 3
7163, forest, minecraft:forest, CREATURE, crittersandcompanions:ferret, 3, 1, 3
7164, forest, minecraft:forest, CREATURE, naturalist:bear, 3, 1, 3
7165, forest, minecraft:forest, CREATURE, naturalist:deer, 3, 1, 3
7166, forest, minecraft:forest, CREATURE, naturalist:snail, 3, 1, 3
7167, forest, minecraft:forest, CREATURE, naturalist:butterfly, 3, 1, 3
7168, forest, minecraft:forest, CREATURE, naturalist:snake, 3, 1, 3
7169, forest, minecraft:forest, CREATURE, naturalist:cardinal, 3, 1, 3
7170, forest, minecraft:forest, CREATURE, naturalist:robin, 3, 1, 3
7171, forest, minecraft:forest, CREATURE, minecraft:rabbit, 3, 1, 3
7172, forest, minecraft:forest, CREATURE, minecraft:fox, 3, 1, 3
7173, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 3, 1, 3
7174, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 3, 1, 3
7175, forest, minecraft:forest, CREATURE, alexsmobs:crow, 3, 1, 3
7176, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 3, 1, 3
7177, forest, minecraft:forest, AMBIENT, minecraft:bat, 3, 1, 3
7178, forest, minecraft:forest, AMBIENT, crittersandcompanions:leaf_insect, 3, 1, 3
7179, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 3, 1, 3
7180, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 3, 1, 3
7181, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 3, 1, 3
7182, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish, 3, 1, 3
7183, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar, 3, 1, 3
7184, forest, minecraft:forest, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
7185, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 3
7186, forest, minecraft:forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
7187, forest, minecraft:forest, WATER_AMBIENT, aquaculture:perch, 3, 1, 3
7188, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
7189, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 3
7190, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
7191, forest, minecraft:forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 1, 3
7192, forest, minecraft:forest, fireflies, naturalist:firefly, 3, 1, 3
7193, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 3, 1, 3
7194, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 3, 1, 3
7195, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 1, 1, 3
7196, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 3, 1, 3
7197, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 3, 1, 3
7198, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 3, 1, 3
7199, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 1, 1, 3
7200, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 1, 1, 3
7201, forest, minecraft:flower_forest, MONSTER, mowziesmobs:grottol, 3, 1, 3
7202, forest, minecraft:flower_forest, MONSTER, alexsmobs:centipede_head, 3, 1, 3
7203, forest, minecraft:flower_forest, MONSTER, quark:stoneling, 3, 1, 3
7204, forest, minecraft:flower_forest, MONSTER, quark:toretoise, 3, 1, 3
7205, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 3, 1, 3
7206, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 3, 1, 3
7207, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 3, 1, 3
7208, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 3, 1, 3
7209, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 3, 1, 3
7210, forest, minecraft:flower_forest, CREATURE, isleofberk:deadly_nadder, 3, 1, 3
7211, forest, minecraft:flower_forest, CREATURE, naturalist:bear, 3, 1, 3
7212, forest, minecraft:flower_forest, CREATURE, naturalist:deer, 3, 1, 3
7213, forest, minecraft:flower_forest, CREATURE, naturalist:snail, 3, 1, 3
7214, forest, minecraft:flower_forest, CREATURE, naturalist:butterfly, 3, 1, 3
7215, forest, minecraft:flower_forest, CREATURE, naturalist:snake, 3, 1, 3
7216, forest, minecraft:flower_forest, CREATURE, naturalist:cardinal, 3, 1, 3
7217, forest, minecraft:flower_forest, CREATURE, naturalist:robin, 3, 1, 3
7218, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 3, 1, 3
7219, forest, minecraft:flower_forest, CREATURE, minecraft:fox, 3, 1, 3
7220, forest, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear, 3, 1, 3
7221, forest, minecraft:flower_forest, CREATURE, alexsmobs:hummingbird, 3, 1, 3
7222, forest, minecraft:flower_forest, CREATURE, alexsmobs:raccoon, 3, 1, 3
