1, none, minecraft:the_void, MONSTER, mowziesmobs:grottol, 2, 1, 1
84, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
85, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 9, 6, 10
86, plains, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
87, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 3, 2, 3
88, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
89, plains, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
90, plains, minecraft:sunflower_plains, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
91, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
92, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 15, 1, 5
93, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
94, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 15, 1, 6
95, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
96, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
97, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 15, 1, 6
98, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
99, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
100, plains, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 15, 5, 12
101, plains, minecraft:sunflower_plains, fireflies, naturalist:firefly, 6, 2, 3
102, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 15, 4, 4
103, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 15, 4, 4
104, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 1, 1, 1
105, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 15, 4, 4
106, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 15, 4, 4
107, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 1, 1, 4
108, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 1, 1, 1
109, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 15, 4, 4
110, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 15, 2, 2
111, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 15, 2, 2
112, icy, minecraft:snowy_plains, MONSTER, mowziesmobs:grottol, 2, 1, 1
113, icy, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
114, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 15, 1, 1
115, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 15, 2, 4
116, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
117, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 1, 1, 2
118, icy, minecraft:snowy_plains, CREATURE, isleofberk:deadly_nadder, 2, 2, 3
119, icy, minecraft:snowy_plains, CREATURE, isleofberk:gronckle, 2, 1, 2
120, icy, minecraft:snowy_plains, CREATURE, isleofberk:zippleback, 1, 0, 1
121, icy, minecraft:snowy_plains, CREATURE, ecologics:penguin, 2, 4, 7
122, icy, minecraft:snowy_plains, CREATURE, naturalist:bluejay, 6, 1, 4
123, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 1, 3, 4
124, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 9, 3, 4
125, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 15, 3, 5
126, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
127, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 3, 2, 3
128, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
129, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
130, icy, minecraft:snowy_plains, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
131, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:minnow, 15, 1, 5
132, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:perch, 15, 1, 6
133, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
134, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
135, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:bluegill, 15, 1, 6
136, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
137, icy, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 15, 5, 12
138, icy, minecraft:ice_spikes, MONSTER, minecraft:spider, 15, 4, 4
139, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie, 15, 4, 4
140, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 1, 1, 1
141, icy, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 15, 4, 4
142, icy, minecraft:ice_spikes, MONSTER, minecraft:slime, 15, 4, 4
143, icy, minecraft:ice_spikes, MONSTER, minecraft:enderman, 1, 1, 4
144, icy, minecraft:ice_spikes, MONSTER, minecraft:witch, 1, 1, 1
145, icy, minecraft:ice_spikes, MONSTER, minecraft:stray, 15, 4, 4
146, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 15, 2, 2
147, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 15, 2, 2
148, icy, minecraft:ice_spikes, MONSTER, mowziesmobs:grottol, 2, 1, 1
149, icy, minecraft:ice_spikes, MONSTER, alexsmobs:centipede_head, 8, 1, 1
150, icy, minecraft:ice_spikes, MONSTER, quark:stoneling, 15, 1, 1
151, icy, minecraft:ice_spikes, MONSTER, quark:toretoise, 15, 2, 4
152, icy, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
153, icy, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 1, 1, 2
154, icy, minecraft:ice_spikes, CREATURE, isleofberk:zippleback, 1, 0, 1
155, icy, minecraft:ice_spikes, CREATURE, naturalist:bluejay, 6, 1, 4
156, icy, minecraft:ice_spikes, CREATURE, cnb:yeti, 1, 3, 4
157, icy, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 15, 5, 7
158, icy, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 15, 3, 5
159, icy, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
160, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:fly, 3, 2, 3
161, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:cockroach, 4, 5, 5
162, icy, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
163, icy, minecraft:ice_spikes, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
164, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:minnow, 15, 1, 5
165, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:perch, 15, 1, 6
166, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
167, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
168, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:bluegill, 15, 1, 6
169, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
170, icy, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 15, 5, 12
171, desert, minecraft:desert, MONSTER, minecraft:spider, 15, 4, 4
172, desert, minecraft:desert, MONSTER, minecraft:zombie, 15, 4, 4
173, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 1, 1, 1
174, desert, minecraft:desert, MONSTER, minecraft:skeleton, 15, 4, 4
175, desert, minecraft:desert, MONSTER, minecraft:slime, 15, 4, 4
176, desert, minecraft:desert, MONSTER, minecraft:enderman, 1, 1, 4
177, desert, minecraft:desert, MONSTER, minecraft:witch, 1, 1, 1
178, desert, minecraft:desert, MONSTER, minecraft:husk, 15, 4, 4
179, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 15, 2, 2
180, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 15, 2, 2
181, desert, minecraft:desert, MONSTER, mowziesmobs:grottol, 2, 1, 1
182, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 8, 1, 1
183, desert, minecraft:desert, MONSTER, alexsmobs:guster, 10, 1, 2
184, desert, minecraft:desert, MONSTER, quark:stoneling, 15, 1, 1
185, desert, minecraft:desert, MONSTER, quark:toretoise, 15, 2, 4
186, desert, minecraft:desert, CREATURE, minecraft:rabbit, 4, 2, 3
187, desert, minecraft:desert, CREATURE, ecologics:camel, 1, 1, 1
188, desert, minecraft:desert, CREATURE, naturalist:rattlesnake, 3, 1, 1
189, desert, minecraft:desert, CREATURE, naturalist:cardinal, 6, 1, 4
190, desert, minecraft:desert, CREATURE, naturalist:vulture, 10, 2, 4
191, desert, minecraft:desert, CREATURE, cnb:cactem, 3, 10, 15
192, desert, minecraft:desert, CREATURE, cnb:lizard, 15, 1, 4
193, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 9, 2, 2
194, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
195, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 6, 1, 1
196, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
197, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 3, 2, 3
198, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 4, 5, 5
199, desert, minecraft:desert, AMBIENT, alexsmobs:jerboa, 12, 1, 3
200, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
201, desert, minecraft:desert, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
202, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
203, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 15, 1, 6
204, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 6, 1, 2
205, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 1, 1, 1
206, desert, minecraft:desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 15, 5, 12
207, swamp, minecraft:swamp, MONSTER, minecraft:spider, 15, 4, 4
208, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 15, 4, 4
209, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 1, 1, 1
210, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 15, 4, 4
211, swamp, minecraft:swamp, MONSTER, minecraft:slime, 15, 4, 4
212, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 1, 1, 4
213, swamp, minecraft:swamp, MONSTER, minecraft:witch, 1, 1, 1
214, swamp, minecraft:swamp, MONSTER, minecraft:slime, 1, 1, 1
215, swamp, minecraft:swamp, MONSTER, creeperoverhaul:swamp_creeper, 15, 2, 2
216, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 15, 2, 2
217, swamp, minecraft:swamp, MONSTER, mowziesmobs:grottol, 2, 1, 1
218, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 8, 1, 1
219, swamp, minecraft:swamp, MONSTER, quark:stoneling, 15, 1, 1
220, swamp, minecraft:swamp, MONSTER, quark:toretoise, 15, 2, 4
221, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
222, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
223, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
224, swamp, minecraft:swamp, CREATURE, minecraft:cow, 8, 4, 4
225, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle, 10, 1, 2
226, swamp, minecraft:swamp, CREATURE, isleofberk:gronckle, 2, 1, 2
227, swamp, minecraft:swamp, CREATURE, isleofberk:zippleback, 1, 0, 1
228, swamp, minecraft:swamp, CREATURE, naturalist:snail, 2, 1, 3
229, swamp, minecraft:swamp, CREATURE, naturalist:snake, 3, 1, 1
230, swamp, minecraft:swamp, CREATURE, naturalist:cardinal, 6, 1, 4
231, swamp, minecraft:swamp, CREATURE, cnb:sporeling, 15, 5, 7
232, swamp, minecraft:swamp, CREATURE, cnb:lilytad, 15, 1, 1
233, swamp, minecraft:swamp, CREATURE, cnb:minipad, 15, 3, 6
234, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 15, 1, 2
235, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
236, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 15, 1, 2
237, swamp, minecraft:swamp, CREATURE, alexsmobs:anaconda, 12, 1, 1
238, swamp, minecraft:swamp, CREATURE, quark:frog, 15, 1, 3
239, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
240, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 3, 2, 3
241, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 4, 5, 5
242, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
243, swamp, minecraft:swamp, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
244, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
245, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:minnow, 15, 1, 5
246, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
247, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:perch, 15, 1, 6
248, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
249, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
250, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:bluegill, 15, 1, 6
251, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
252, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
253, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 15, 5, 12
254, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish, 4, 1, 3
255, swamp, minecraft:swamp, fireflies, naturalist:firefly, 6, 2, 3
256, forest, minecraft:forest, MONSTER, minecraft:spider, 15, 4, 4
257, forest, minecraft:forest, MONSTER, minecraft:zombie, 15, 4, 4
258, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 1, 1, 1
259, forest, minecraft:forest, MONSTER, minecraft:skeleton, 15, 4, 4
260, forest, minecraft:forest, MONSTER, minecraft:creeper, 15, 4, 4
261, forest, minecraft:forest, MONSTER, minecraft:slime, 15, 4, 4
262, forest, minecraft:forest, MONSTER, minecraft:enderman, 1, 1, 4
263, forest, minecraft:forest, MONSTER, minecraft:witch, 1, 1, 1
264, forest, minecraft:forest, MONSTER, mowziesmobs:grottol, 2, 1, 1
265, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
266, forest, minecraft:forest, MONSTER, quark:stoneling, 15, 1, 1
267, forest, minecraft:forest, MONSTER, quark:toretoise, 15, 2, 4
268, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
269, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
270, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
271, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
272, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
273, forest, minecraft:forest, CREATURE, isleofberk:deadly_nadder, 9, 1, 3
274, forest, minecraft:forest, CREATURE, crittersandcompanions:ferret, 3, 2, 3
275, forest, minecraft:forest, CREATURE, naturalist:bear, 1, 1, 2
276, forest, minecraft:forest, CREATURE, naturalist:deer, 6, 1, 3
277, forest, minecraft:forest, CREATURE, naturalist:snail, 2, 1, 3
278, forest, minecraft:forest, CREATURE, naturalist:butterfly, 4, 1, 3
279, forest, minecraft:forest, CREATURE, naturalist:snake, 3, 1, 1
280, forest, minecraft:forest, CREATURE, naturalist:cardinal, 6, 1, 4
281, forest, minecraft:forest, CREATURE, naturalist:robin, 6, 1, 4
282, forest, minecraft:forest, CREATURE, minecraft:rabbit, 4, 2, 3
283, forest, minecraft:forest, CREATURE, minecraft:fox, 4, 2, 4
284, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
285, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
286, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
287, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
288, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
289, forest, minecraft:forest, AMBIENT, crittersandcompanions:leaf_insect, 10, 1, 1
290, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 3, 2, 3
291, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 4, 5, 5
292, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
293, forest, minecraft:forest, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
294, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
295, forest, minecraft:forest, WATER_AMBIENT, aquaculture:minnow, 15, 1, 5
296, forest, minecraft:forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
297, forest, minecraft:forest, WATER_AMBIENT, aquaculture:perch, 15, 1, 6
298, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
299, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
300, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill, 15, 1, 6
301, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
302, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
303, forest, minecraft:forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 15, 5, 12
304, forest, minecraft:forest, fireflies, naturalist:firefly, 6, 2, 3
305, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 15, 4, 4
306, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 15, 4, 4
307, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 1, 1, 1
308, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 15, 4, 4
309, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 15, 4, 4
310, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 15, 4, 4
311, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 1, 1, 4
312, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 1, 1, 1
313, forest, minecraft:flower_forest, MONSTER, mowziesmobs:grottol, 2, 1, 1
314, forest, minecraft:flower_forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
315, forest, minecraft:flower_forest, MONSTER, quark:stoneling, 15, 1, 1
316, forest, minecraft:flower_forest, MONSTER, quark:toretoise, 15, 2, 4
317, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
318, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
319, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
320, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
321, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 4, 2, 3
322, forest, minecraft:flower_forest, CREATURE, isleofberk:deadly_nadder, 9, 1, 3
323, forest, minecraft:flower_forest, CREATURE, naturalist:bear, 1, 1, 2
324, forest, minecraft:flower_forest, CREATURE, naturalist:deer, 6, 1, 3
325, forest, minecraft:flower_forest, CREATURE, naturalist:snail, 2, 1, 3
326, forest, minecraft:flower_forest, CREATURE, naturalist:butterfly, 4, 1, 3
327, forest, minecraft:flower_forest, CREATURE, naturalist:snake, 3, 1, 1
328, forest, minecraft:flower_forest, CREATURE, naturalist:cardinal, 6, 1, 4
329, forest, minecraft:flower_forest, CREATURE, naturalist:robin, 6, 1, 4
330, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 4, 2, 3
331, forest, minecraft:flower_forest, CREATURE, minecraft:fox, 4, 2, 4
332, forest, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
